GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cac-ex,com.example.cacex.util,CommandLineFlags,2,20,3,3,1,5,3,1,0,1
cac-ex,com.example.cacex.util,PathUtils,17,0,2,0,3,0,2,0,1,0
cac-ex,com.example.cacex.service.plan.rules,PlanOrderingProperties.Rule,29,0,0,0,11,0,7,0,7,0
cac-ex,com.example.cacex.service.plan.rules,PlanOrderingProperties,15,0,0,0,5,0,3,0,3,0
cac-ex,com.example.cacex.service.plan.rules,PlanOrderingRuleEngine.OrderKey,51,0,6,0,11,0,5,0,2,0
cac-ex,com.example.cacex.service.plan.rules,PlanOrderingRuleEngine.PlanOrderingRule,87,0,24,0,18,0,16,0,4,0
cac-ex,com.example.cacex.service.plan.rules,PlanOrderingRuleEngine,335,0,22,0,59,0,21,0,10,0
cac-ex,com.example.cacex.model,ChartOfAccountsFile,91,0,12,0,23,0,16,0,10,0
cac-ex,com.example.cacex.model,PortfolioGroupFile,69,0,10,0,15,0,12,0,7,0
cac-ex,com.example.cacex.model,DerivedPortfolioFile,69,0,10,0,16,0,12,0,7,0
cac-ex,com.example.cacex.model,MasterPlan,4,17,0,0,2,5,1,3,1,3
cac-ex,com.example.cacex.model,LoadedFile,97,0,12,0,23,0,14,0,8,0
cac-ex,com.example.cacex.model,TransactionFile,152,0,18,0,38,0,25,0,16,0
cac-ex,com.example.cacex.model,Action,0,34,0,0,0,4,0,1,0,1
cac-ex,com.example.cacex.model,SideFile,91,0,12,0,23,0,16,0,10,0
cac-ex,com.example.cacex.model,FileCategory,0,104,0,0,0,11,0,1,0,1
cac-ex,com.example.cacex.model,AborFile,69,0,10,0,15,0,12,0,7,0
cac-ex,com.example.cacex.model,PlanItem,37,36,0,0,18,13,10,6,10,6
cac-ex,com.example.cacex.model,PostingRulesFile,111,0,14,0,28,0,19,0,12,0
cac-ex,com.example.cacex.model,StateDocument,31,0,0,0,13,0,9,0,9,0
cac-ex,com.example.cacex.model,GeneralLedgerProfileFile,111,0,14,0,28,0,19,0,12,0
cac-ex,com.example.cacex.model,AccountFile,87,0,12,0,20,0,15,0,9,0
cac-ex,com.example.cacex.model,AborConfigurationFile,69,0,10,0,16,0,12,0,7,0
cac-ex,com.example.cacex.service.apply.itemapply,ChartOfAccountsPlanItemApplier,7,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply.itemapply,AborPlanItemApplier,7,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply.itemapply,DerivedPortfolioPlanItemApplier,7,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply.itemapply,AborConfigurationPlanItemApplier,7,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply.itemapply,GeneralLedgerProfilePlanItemApplier,7,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply.itemapply,PortfolioGroupPlanItemApplier,7,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply.itemapply,SidePlanItemApplier,7,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply.itemapply,PostingModulePlanItemApplier,7,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply.itemapply,TransactionPlanItemApplier,7,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply.itemapply,AccountPlanItemApplier,7,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply.itemapply,AbstractPlanItemApplier,103,0,10,0,25,0,9,0,3,0
cac-ex,com.example.cacex.service.plan.stratagy,AborFileParsingStrategy,62,0,6,0,11,0,7,0,4,0
cac-ex,com.example.cacex.service.plan.stratagy,DerivedPortfolioFileParsingStrategy,51,0,4,0,10,0,6,0,4,0
cac-ex,com.example.cacex.service.plan.stratagy,FileParsingStrategyFactory,70,0,8,0,13,0,7,0,3,0
cac-ex,com.example.cacex.service.plan.stratagy,ChartOfAccountsFileParsingStrategy,124,0,24,0,25,0,18,0,6,0
cac-ex,com.example.cacex.service.plan.stratagy,AccountFileParsingStrategy,66,0,6,0,15,0,7,0,4,0
cac-ex,com.example.cacex.service.plan.stratagy,GeneralLedgerProfileFileParsingStrategy,119,0,26,0,24,0,18,0,5,0
cac-ex,com.example.cacex.service.plan.stratagy,PortfolioGroupFileParsingStrategy,51,0,4,0,10,0,6,0,4,0
cac-ex,com.example.cacex.service.plan.stratagy,AborConfigurationFileParsingStrategy,51,0,4,0,10,0,6,0,4,0
cac-ex,com.example.cacex.service.plan.stratagy,PostingRulesFileParsingStrategy,144,0,30,0,27,0,21,0,6,0
cac-ex,com.example.cacex.service.plan.stratagy,TransactionFileParsingStrategy,63,0,6,0,12,0,7,0,4,0
cac-ex,com.example.cacex.service.plan.stratagy,SideFileParsingStrategy,61,0,6,0,10,0,7,0,4,0
cac-ex,com.example.cacex.service.plan,ChangedFilesProvider,44,0,4,0,13,0,6,0,4,0
cac-ex,com.example.cacex.service.plan,JsonModelMapper,424,0,48,0,104,0,38,0,14,0
cac-ex,com.example.cacex.service.plan,MasterPlanHtmlReportGenerator,73,0,0,0,16,0,3,0,3,0
cac-ex,com.example.cacex.service.plan,PlanWriter,38,0,2,0,12,0,3,0,2,0
cac-ex,com.example.cacex.service,PlanService,1075,0,138,0,245,0,98,0,26,0
cac-ex,com.example.cacex.service,StateFileService,1347,4,153,0,297,1,125,1,44,1
cac-ex,com.example.cacex.service,PlanApplyService,6,223,3,11,2,49,3,15,0,11
cac-ex,com.example.cacex.service.apply.apiservice,AborApiService,49,0,0,0,8,0,5,0,5,0
cac-ex,com.example.cacex.service.apply.apiservice,TransactionTypeApiService,49,0,0,0,8,0,5,0,5,0
cac-ex,com.example.cacex.service.apply.apiservice,GeneralLedgerProfileApiService,49,0,0,0,8,0,5,0,5,0
cac-ex,com.example.cacex.service.apply.apiservice,PostingModuleApiService,49,0,0,0,8,0,5,0,5,0
cac-ex,com.example.cacex.service.apply.apiservice,AccountApiService,49,0,0,0,8,0,5,0,5,0
cac-ex,com.example.cacex.service.apply.apiservice,SideDefinitionApiService,49,0,0,0,8,0,5,0,5,0
cac-ex,com.example.cacex.service.apply.apiservice,AborConfigurationApiService,49,0,0,0,8,0,5,0,5,0
cac-ex,com.example.cacex.service.apply.apiservice,DerivedPortfolioApiService,50,0,0,0,8,0,5,0,5,0
cac-ex,com.example.cacex.service.apply.apiservice,PortfolioGroupApiService,49,0,0,0,8,0,5,0,5,0
cac-ex,com.example.cacex.service.apply.apiservice,ChartOfAccountsApiService,49,0,0,0,8,0,5,0,5,0
cac-ex,com.example.cacex.repository,CosmosStateRepository,126,0,8,0,27,0,9,0,5,0
cac-ex,com.example.cacex,PlanGeneratorApplication,8,0,0,0,3,0,2,0,2,0
cac-ex,com.example.cacex.service.apply,ApplyPlanReport,0,171,1,13,0,41,1,19,0,13
cac-ex,com.example.cacex.service.apply,PlanReader,166,4,24,0,33,1,19,1,3,1
cac-ex,com.example.cacex.service.apply,ApplyPlanItemResult,26,136,15,17,0,33,15,10,0,9
cac-ex,com.example.cacex.exception,UnsupportedFileCategoryException,4,0,0,0,2,0,1,0,1,0
cac-ex,com.example.cacex.exception,MissingApplierException,0,4,0,0,0,2,0,1,0,1
cac-ex,com.example.cacex.exception,InvalidPlanItemException,4,0,0,0,2,0,1,0,1,0
cac-ex,com.example.cacex.exception,UnsupportedFilePathException,4,0,0,0,2,0,1,0,1,0
cac-ex,com.example.cacex.exception,PlanProcessingException,9,0,0,0,4,0,2,0,2,0
cac-ex,com.example.cacex.exception,PlanApplyException,0,9,0,0,0,4,0,2,0,2
cac-ex,com.example.cacex.runner,ApplyRunner,3,56,2,6,0,17,2,5,0,3
cac-ex,com.example.cacex.runner,PlanRunner,149,0,22,0,43,0,17,0,6,0
cac-ex,com.example.cacex.config,JacksonConfiguration,40,0,0,0,10,0,3,0,3,0
cac-ex,com.example.cacex.config,CosmosStateProperties,41,0,0,0,17,0,11,0,11,0
cac-ex,com.example.cacex.config,CosmosStateConfiguration,32,0,0,0,10,0,4,0,4,0
cac-ex,com.example.cacex.config,FileLocationProperties,173,0,4,0,59,0,34,0,32,0
cac-ex,com.example.cacex.util.serde,OffsetDateTimeDeserializer,24,0,4,0,8,0,5,0,3,0
cac-ex,com.example.cacex.util.serde,OffsetDateTimeSerializer,19,0,2,0,8,0,4,0,3,0
